ip,query,malware_name,tag,port,country,org,isp,hostnames,first_seen,last_seen,projectlabel
20.74.209.192,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",4443,United Arab Emirates,Microsoft Corporation,Microsoft Corporation,,2025-02-14,2025-02-14,CTI-IOA
101.43.42.134,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
121.41.89.22,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
44.193.202.139,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",ec2-44-193-202-139.compute-1.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
8.130.24.191,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
124.71.137.28,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-124-71-137-28.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
124.156.193.181,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,Singapore,Asia Pacific Network Information Centre,"Tencent Building, Kejizhongyi Avenue",,2025-02-14,2025-02-14,CTI-IOA
47.93.243.161,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
192.3.0.100,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,HostPapa,HostPapa,192-3-0-100-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
39.105.31.193,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
67.205.131.83,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
182.92.118.224,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
120.24.38.217,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",4433,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
62.234.11.61,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
150.158.89.168,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",55443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
43.134.58.195,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Singapore,"Asia Pacific Network Information Center, Pty. Ltd.","Tencent Building, Kejizhongyi Avenue",,2025-02-14,2025-02-14,CTI-IOA
111.229.17.56,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
82.156.108.180,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
47.120.60.201,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
54.89.84.100,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,United States,Amazon Technologies Inc.,"Amazon.com, Inc.",ec2-54-89-84-100.compute-1.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
8.137.114.210,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",4433,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
35.196.251.29,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,Google LLC,Google LLC,29.251.196.35.bc.googleusercontent.com,2025-02-14,2025-02-14,CTI-IOA
82.156.0.140,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
123.57.230.183,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
101.35.228.105,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
18.195.139.19,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Germany,A100 ROW GmbH,"Amazon.com, Inc.",ec2-18-195-139-19.eu-central-1.compute.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
49.232.205.33,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
39.98.48.153,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",6443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
152.32.202.240,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,Japan,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,2025-02-14,2025-02-14,CTI-IOA
118.26.38.52,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,2025-02-14,2025-02-14,CTI-IOA
185.125.50.87,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Germany,H2.NEXUS Frankfurt Network,H2NEXUS LTD,,2025-02-14,2025-02-14,CTI-IOA
